name,Longitude,Latitude
Aruba,-69.98267711,12.52088038
Afghanistan,66.00473366,33.83523073
Angola,17.53736768,-12.29336054
Anguilla,-63.06498927,18.2239595
Albania,20.04983396,41.14244989
Aland,19.95328768,60.21488688
Andorra,1.56054378,42.54229102
United Arab Emirates,54.3001671,23.90528188
Argentina,-65.17980692,-35.3813488
Armenia,44.92993276,40.28952569
American Samoa,-170.7180258,-14.30445997
Antarctica,19.92108951,-80.50857913
Ashmore and Cartier Is.,123.5838379,-12.42993164
Fr. S. Antarctic Lands,69.22666758,-49.24895485
Antigua and Barb.,-61.79469343,17.2774996
Australia,134.4910001,-25.73288704
Austria,14.1264761,47.58549439
Azerbaijan,47.54599879,40.28827235
Burundi,29.87512156,-3.35939666
Belgium,4.64065114,50.63981576
Benin,2.32785254,9.6417597
Burkina Faso,-1.75456601,12.26953846
Bangladesh,90.23812743,23.86731158
Bulgaria,25.21552909,42.76890318
Bahrain,50.54196932,26.04205135
Canada,-98.30777028,61.36206324
Bahamas,-76.62843038,24.29036702
Bosnia and Herz.,17.76876733,44.17450125
St-Barthlemy,-62.84067779,17.89880451
Belarus,28.03209307,53.53131377
Belize,-88.71010486,17.20027509
Bermuda,-64.7545589,32.31367802
Bolivia,-64.68538645,-16.70814787
Brazil,-53.09783113,-10.78777702
Barbados,-59.559797,13.18145428
Brunei,114.7220304,4.51968958
Bhutan,90.40188155,27.41106589
Botswana,23.79853368,-22.18403213
Central African Rep.,20.46826831,6.56823297
Switzerland,8.20867471,46.79785878
Chile,-71.38256213,-37.73070989
China,103.8190735,36.56176546
